Tanggal,Nama Barang,Jumlah
2024-08-30 0:00:00,"Tenda, Matras, Tas + CB, Set Gelas, Kompor, Gas Rent, Lampu Tenda, Nesting",
2025-08-27 0:00:00,"Tenda, Kompor, Gas Rent",
2025-08-24 0:00:00,Tenda Pramuka,
2025-08-24 0:00:00,"Senter, Sarung Tangan, Tas + CB, Gas Rent, Sepatu",
2025-08-24 0:00:00,"Nesting, Kompor, Tenda, TP, Headlamp, Lampu Tenda, SB, Matras Spoon, Matras Foil, Gelas Set",
2025-08-23 0:00:00,"SB, Manset, Trash Bag",
2025-08-23 0:00:00,Tenda K4,
2025-08-23 0:00:00,"Pasak, Gas Rent",
2025-08-23 0:00:00,"Sepatu, Tas + CB, SB, Headlamp, Matras, CB, TP, Tenda K6, Nesting, Lampu Tenda",
2025-08-23 0:00:00,"Tenda, Gas Rent",
2025-08-22 0:00:00,"Sepatu, Headlamp, Sarung, TP",
2025-08-21 0:00:00,"Tas, SB, Matras, Headlamp, TP, Sepatu, Nesting",
2025-08-21 0:00:00,"Tas + CB, Senter, Headlamp, Lampu Tenda, TP",
2025-08-21 0:00:00,TP,
2025-08-17 0:00:00,"TP, Hydropack, Sepatu",
2025-08-17 0:00:00,"Tenda, Lampu Tenda, Kompor, Gas Rent, Nesting, Matras",
2025-08-16 0:00:00,"Tenda, TP",
2025-08-15 0:00:00,"Tas, Matras, Nesting, Kompor, Sb, Lampu Tenda, Sarung Tangan",
2025-08-15 0:00:00,"Tenda, Headlamp, Nesting, Matras, SB",
2025-08-13 0:00:00,"TP, Headlamp, Emergency Blanket",
2025-08-13 0:00:00,"TP, Hydropack ",
2025-08-12 0:00:00,Tenda K4,
2025-08-10 0:00:00,"Headlamp, Tp ",
2025-08-09 0:00:00,"Tenda, Nesting, Fly Sheet,  Pasak, Tali",
2025-08-07 0:00:00,"TP, Headlamp, Sepatu, Emergency Blanket, Hydropack",
2025-08-06 0:00:00,"Tenda, Nesting, TP, Kompor, CB",
2025-08-06 0:00:00,"Tenda, Tas + CB, Sepatu, SB, Matras, Kompor, Gas Rent, Nesting, TP, Lampu Tenda",
2025-08-03 0:00:00,"Tenda, Paket Grill, Trash Bag, Pasak, Gas Rent",
2025-08-02 0:00:00,"SB, Tas + CB, TP, Fly Sheet, Sarung Tangan, Tenda, Sepatu, Gas Rent, Kompor",
2024-09-29 0:00:00,Tripod HP,
2024-09-29 0:00:00,"Tas 45L + CB, SB, Matras Foil, Fly Sheet, Tempat Telur, TP",
2024-09-29 0:00:00,"Tas 55L + CB, CB",
2025-09-28 0:00:00,"SB, headlamp, TP, Headlamp",
2025-09-28 0:00:00,"Kursi Outdoor B, Gas Rent, Kompor",
2025-09-27 0:00:00,Kompor,
2000-09-26 0:00:00,"Tenda, Matras, Gas Rent",
2025-09-21 0:00:00,"Sepatu 39, Sepatu 43, TP",
2025-09-20 0:00:00,"Tenda, Lampu Tenda",
2025-09-19 0:00:00,"Tas + CB, TP, Matras, SB",
2025-09-19 0:00:00,"TP, kafhooper",
2025-09-18 0:00:00,"Tenda, Headlamp, Manset",
2025-09-15 0:00:00,"Kompor B, Tenda K4",
2025-09-14 0:00:00,Tenda K4,
2024-09-14 0:00:00,"Tas, Headlamp, Tenda, Matras, Sepatu, SB, lampu Tenda",
2023-09-14 0:00:00,"SB, Tas, Matras, Sepatu, TP",
2022-09-14 0:00:00,"TP, Headlamp",
2021-09-14 0:00:00,"TP, Hydropack, Emergency Blanket",
2020-09-14 0:00:00,"Tenda, Gas Refill",
2019-09-14 0:00:00,"Kompor, Gas Rent",
2018-09-14 0:00:00,"Tenda, Lampu Tenda, Kompor, Nesting, Gas Rent",
2017-09-14 0:00:00,"Tenda K4, Lampu Tenda, Gas Rent, Fly Sheet, Kursi K",
2016-09-14 0:00:00,"Tenda K6, Tenda K4",
2025-09-13 0:00:00,"TP, Emergency Blanket",
2025-09-13 0:00:00,Headlamp,
2025-09-13 0:00:00,"TP, Leaf Hopper",
2025-09-12 0:00:00,"Tas + CB, Sepatu",
2025-09-11 0:00:00,"Tenda K4, Headlamp, Matras",
2025-09-07 0:00:00,"Tenda K6, Tenda K4",
2025-09-07 0:00:00,"TP, Hydropack ",
2025-09-07 0:00:00,Powerbank,
2025-09-06 0:00:00,"Tas, Tenda, Gas Rent, Kompor, Penadah Angin, Fly Sheet, Tali",
2025-09-06 0:00:00,"Tas, Tenda, Matras, Nesting, Lampu Tenda, SB",
2025-09-06 0:00:00,"Tas, SB, Matras Foil, Sepatu",
2025-09-06 0:00:00,SB,
2025-09-06 0:00:00,TP,
2025-09-06 0:00:00,"SB, Headlamp, TP ",
2025-09-06 0:00:00,TP,
2025-09-06 0:00:00,"TP, Tas Kecil Lipat, Headlamp",
2025-09-04 0:00:00,"Tenda K4, Tas, Matras, SB, Nesting, Kompor, Gas Rent",
2025-09-03 0:00:00,"TP, Sepatu, Senter",
2025-09-02 0:00:00,TP,
2024-09-01 0:00:00,"Tenda K4, Lampu Tenda, Fly Sheet",
2024-11-30 0:00:00,"Tenda K4, Kompor, Nesting, Fly Sheet",
2024-11-30 0:00:00,"TP, Hydropack",
2025-11-29 0:00:00,Gas Rent,
2025-11-27 0:00:00,"Tenda K4, Kompor B",
2025-11-27 0:00:00,"Tenda K4, Kompor B",
2024-11-26 0:00:00,"Tas + CB, TP",
2024-11-08 0:00:00,"TP, Headlamp, Sarung Tangan",
2024-11-04 0:00:00,"Tenda K4, SB, Matras, Headlamp, Lampu Tenda",
2024-12-31 0:00:00,"Tenda K4, Matras",
2024-12-31 0:00:00,"Tenda K4, Matras, SB",
2024-12-31 0:00:00,"Kompor K, Gas Rent",
2024-12-31 0:00:00,"Tenda K4, Nesting, Kompor, Gas Rent",
2024-12-31 0:00:00,Gas Rent,
2024-12-31 0:00:00,Kompor Besar,
2024-12-31 0:00:00,"Kompor K, Nesting, Tenda K4, Matras",
2024-12-31 0:00:00,"Dril? Grill?, Kompor",
2024-12-31 0:00:00,TP,
2024-12-31 0:00:00,"Kompor B, Gas Rent",
2024-12-31 0:00:00,"Kompor B, Gas Rent, Grill",
2024-12-29 0:00:00,Gas Rent,
2024-12-29 0:00:00,Powerbank,
2024-12-29 0:00:00,"Tenda K6, Tenda K4, Matras Foil, Fly Sheet, Gas Rent, Tas 55L + CB, Lampu Tenda, Penahan Angin, Tempat Telur",
2024-12-29 0:00:00,"SB, Tali Fly Sheet",
2024-12-28 0:00:00,"Matras, SB, TP",
2025-12-27 0:00:00,"Head Lamp, TP, Hydropack",
2025-12-27 0:00:00,"Matras Foil B, Lampu Tenda, Gas Rent",
2025-12-27 0:00:00,"Headlamp, SB",
2025-12-26 0:00:00,SB,
2025-12-25 0:00:00,"Kompor K, Gas Rent",
2025-12-24 0:00:00,"Tenda K4, Matras Foil, Fly Sheet, Lampu Tenda, Kompor, Nesting, Gas Rent",
2025-12-24 0:00:00,"TP, Hydropack",
2025-12-24 0:00:00,"Sepatu, Tas, TP, Sarung Tangan, Matras",
2025-12-24 0:00:00,"Tas, Kompor, Nesting, Matras, Sepatu, SB, TP",
2024-12-23 0:00:00,TP,
2025-12-22 0:00:00,"Tenda K4, Kursi Lipat K",
2025-12-22 0:00:00,Gas Refill,
2025-12-17 0:00:00,"Kompor, Lampu Tenda, CB",
2025-12-16 0:00:00,Kompor Besar,
2025-12-14 0:00:00,"Tenda K4, Tenda K6, Matras Foil",
2025-12-14 0:00:00,TP,
2025-12-14 0:00:00,"Tenda K4, Tenda K6, Headlamp, Matras",
2025-12-13 0:00:00,"Tenda K4, Matras, Fly Sheet, Nesting, Lampu Tenda, Tempat Telur",
2025-12-13 0:00:00,"Nesting, Matras",
2025-12-12 0:00:00,Tenda Pramuka,
2025-12-12 0:00:00,Nesting,
2025-12-12 0:00:00,"Mantol, Gas Rent, Headlamp, Matras",
2025-12-11 0:00:00,Tenda K4,
2025-12-10 0:00:00,Tenda Pramuka,
2025-12-07 0:00:00,"Tenda K4, Tas 45L + CB, SB, Headlamp, Fly Sheet, TP",
2025-12-05 0:00:00,"Nesting, Fly Sheet, Emergency Blanket",
